Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane,TaskPosition,PlayerPosition,Pointing
0,0,0.0319149,49.53593,67.67271,71.97259,54.207,46.571,(16.0, 1.2, 32.0),(14.1, 1.2, 28.7),(0.8, 0.5, 0.2)
1,1,71.97259,112.988,126.3817,130.8267,20.547,7.819,(6.0, 1.2, 28.0),(9.8, 1.2, 31.6),(-0.8, 0.3, -0.5)
2,2,130.8267,171.8756,206.2952,209.3629,43.851,9.478,(2.0, 1.2, 26.0),(4.3, 1.2, 31.9),(-0.4, 0.7, -0.6)
3,3,209.3639,222.6883,246.0136,251.9216,91.758,91.933,(0.0, 1.2, 34.0),(4.0, 1.2, 36.1),(-0.4, 0.4, 0.8)
4,4,251.9226,302.0689,330.5239,335.4063,42.416,22.829,(16.0, 1.2, 34.0),(20.0, 1.2, 30.5),(-0.4, 0.6, 0.7)
5,5,335.4073,399.3299,410.7696,414.5365,53.983,28.272,(30.0, 1.2, 38.0),(30.6, 1.2, 36.3),(0.1, 0.7, 0.7)
6,6,414.5365,474.2003,477.6873,481.2433,41.096,18.526,(34.0, 1.2, 26.0),(32.2, 1.2, 24.3),(0.7, 0.6, 0.3)
7,7,481.2433,518.6397,527.6799,531.2344,35.068,10.905,(34.0, 1.2, 18.0),(30.5, 1.2, 19.9),(0.8, 0.5, -0.3)
8,8,531.2344,549.5669,558.9329,562.1556,38.973,3.848,(26.0, 1.2, 22.0),(22.3, 1.2, 20.4),(0.7, 0.6, 0.4)
9,9,562.1556,641.5743,665.721,668.8126,42.265,26.894,(28.0, 1.2, 14.0),(32.0, 1.2, 15.6),(-0.8, 0.6, 0.1)
10,10,668.8135,694.6207,703.9202,706.7376,31.853,1.854,(38.0, 1.2, 6.0),(34.5, 1.2, 4.2),(0.8, 0.5, 0.4)
11,11,706.7376,754.2683,770.0948,773.6384,46.936,21.682,(26.0, 1.2, 6.0),(28.4, 1.2, 2.6),(-0.2, 0.7, 0.7)
12,12,773.6384,810.767,830.4483,834.8699,42.933,2.443,(20.0, 1.2, 2.0),(17.8, 1.2, 3.1),(0.7, 0.7, -0.3)
13,13,834.8699,869.9333,884.8806,888.2339,53.389,17.588,(18.0, 1.2, 8.0),(16.0, 1.2, 2.7),(0.4, 0.8, 0.5)
14,14,888.2339,895.745,902.9868,905.9698,33.235,21.373,(12.0, 1.2, 2.0),(8.4, 1.2, 0.3),(0.9, 0.4, 0.1)
15,15,905.9707,938.8131,958.3497,961.3636,38.457,26.741,(4.0, 1.2, 2.0),(7.5, 1.2, 5.8),(-0.8, 0.5, -0.3)
16,16,961.3636,975.4911,990.7253,993.674,25.416,12.535,(6.0, 1.2, 8.0),(9.4, 1.2, 9.9),(-0.9, 0.4, -0.3)
17,17,993.674,1049.285,1063.363,1066.322,63.563,61.259,(14.0, 1.2, 12.0),(12.0, 1.2, 15.4),(-0.5, 0.4, -0.8)
18,18,1066.322,1072.765,1090.508,1093.69,29.007,18.603,(16.0, 1.2, 16.0),(16.9, 1.2, 10.2),(-0.4, 0.4, 0.8)
19,19,1093.69,1113.849,1135.395,1138.657,47.182,32.939,(20.0, 1.2, 16.0),(16.4, 1.2, 17.8),(0.4, 0.6, -0.7)

